cluster_id,text
10,cattle_record: Cattle_ID=CATTLE_038684; Breed=Boran; Region=Africa; Country=AR; Climate_Zone=Mediterranean; Management_System=Pastoral; Age_Months=38; Weight_kg=472.3; Parity=3; Lactation_Stage=Mid; Days_in_Milk=342; Feed_Type=Concentrates; Feed_Quantity_kg=10.4; Water_Intake_L=20.0; Walking_Distance_km=4.73; Grazing_Duration_hrs=7.1; Rumination_Time_hrs=4.5; Resting_Hours=11.0; Body_Temperature_C=38.7; Heart_Rate_bpm=75.0; Respiratory_Rate=21.0; Ambient_Temperature_C=2.7; Humidity_percent=72.5; Season=Spring; Housing_Score=0.7; Milk_Yield_L=5.94; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=4.39; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2024-07-07; Farm_ID=FARM_0740; Disease_Status=Healthy
11,cattle_record: Cattle_ID=CATTLE_022050; Breed=Butana; Region=South_America; Country=CA; Climate_Zone=Mediterranean; Management_System=Mixed; Age_Months=40; Weight_kg=726.9; Parity=2; Lactation_Stage=Mid; Days_in_Milk=77; Feed_Type=Crop_Residues; Feed_Quantity_kg=9.3; Water_Intake_L=30.5; Walking_Distance_km=0.5; Grazing_Duration_hrs=6.9; Rumination_Time_hrs=6.6; Resting_Hours=12.7; Body_Temperature_C=38.6; Heart_Rate_bpm=54.0; Respiratory_Rate=19.0; Ambient_Temperature_C=41.9; Humidity_percent=42.0; Season=Spring; Housing_Score=0.67; Milk_Yield_L=9.07; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=10.4; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2023-07-06; Farm_ID=FARM_0506; Disease_Status=Healthy
6,cattle_record: Cattle_ID=CATTLE_077432; Breed=Red_Poll_Africa; Region=Global; Country=KE; Climate_Zone=Mediterranean; Management_System=Pastoral; Age_Months=140; Weight_kg=341.8; Parity=2; Lactation_Stage=Late; Days_in_Milk=290; Feed_Type=Dry_Fodder; Feed_Quantity_kg=8.4; Water_Intake_L=29.2; Walking_Distance_km=1.87; Grazing_Duration_hrs=4.3; Rumination_Time_hrs=4.3; Resting_Hours=12.3; Body_Temperature_C=36.5; Heart_Rate_bpm=72.0; Respiratory_Rate=31.0; Ambient_Temperature_C=35.1; Humidity_percent=25.7; Season=Monsoon; Housing_Score=0.75; Milk_Yield_L=0.45; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=3.17; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2023-03-08; Farm_ID=FARM_0688; Disease_Status=Bovine_Tuberculosis
14,cattle_record: Cattle_ID=CATTLE_111500; Breed=Normande; Region=South_Asia; Country=AU; Climate_Zone=Subtropical; Management_System=Mixed; Age_Months=102; Weight_kg=676.2; Parity=3; Lactation_Stage=Mid; Days_in_Milk=269; Feed_Type=Dry_Fodder; Feed_Quantity_kg=14.1; Water_Intake_L=86.1; Walking_Distance_km=4.62; Grazing_Duration_hrs=4.0; Rumination_Time_hrs=12.6; Resting_Hours=10.9; Body_Temperature_C=39.4; Heart_Rate_bpm=48.0; Respiratory_Rate=15.0; Ambient_Temperature_C=19.1; Humidity_percent=79.3; Season=Winter; Housing_Score=0.31; Milk_Yield_L=11.31; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=11.88; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2024-11-03; Farm_ID=FARM_0685; Disease_Status=Diarrhea
5,cattle_record: Cattle_ID=CATTLE_228765; Breed=White_Fulani; Region=Africa; Country=UK; Climate_Zone=Subtropical; Management_System=Pastoral; Age_Months=103; Weight_kg=479.6; Parity=1; Lactation_Stage=Early; Days_in_Milk=308; Feed_Type=Crop_Residues; Feed_Quantity_kg=11.0; Water_Intake_L=36.3; Walking_Distance_km=3.27; Grazing_Duration_hrs=4.1; Rumination_Time_hrs=7.8; Resting_Hours=8.8; Body_Temperature_C=37.7; Heart_Rate_bpm=55.0; Respiratory_Rate=21.0; Ambient_Temperature_C=16.1; Humidity_percent=60.8; Season=Summer; Housing_Score=0.33; Milk_Yield_L=1.19; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=2.72; Body_Condition_Score=2.5; Milking_Interval_hrs=12; Date=2024-10-20; Farm_ID=FARM_0452; Disease_Status=Bovine_Respiratory_Disease
6,cattle_record: Cattle_ID=CATTLE_029676; Breed=Montbeliarde; Region=Global; Country=KE; Climate_Zone=Arid; Management_System=Mixed; Age_Months=127; Weight_kg=643.9; Parity=1; Lactation_Stage=Mid; Days_in_Milk=66; Feed_Type=Green_Fodder; Feed_Quantity_kg=8.7; Water_Intake_L=47.6; Walking_Distance_km=5.78; Grazing_Duration_hrs=11.8; Rumination_Time_hrs=8.8; Resting_Hours=8.3; Body_Temperature_C=38.8; Heart_Rate_bpm=67.0; Respiratory_Rate=19.0; Ambient_Temperature_C=35.2; Humidity_percent=10.0; Season=Monsoon; Housing_Score=0.56; Milk_Yield_L=8.56; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=9.97; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2022-01-28; Farm_ID=FARM_0168; Disease_Status=Hardware_Disease
3,cattle_record: Cattle_ID=CATTLE_036727; Breed=Ayrshire; Region=Africa; Country=CN; Climate_Zone=Subtropical; Management_System=Pastoral; Age_Months=117; Weight_kg=581.1; Parity=6; Lactation_Stage=Mid; Days_in_Milk=321; Feed_Type=Green_Fodder; Feed_Quantity_kg=11.1; Water_Intake_L=42.9; Walking_Distance_km=2.23; Grazing_Duration_hrs=6.7; Rumination_Time_hrs=10.5; Resting_Hours=10.6; Body_Temperature_C=38.6; Heart_Rate_bpm=58.0; Respiratory_Rate=36.0; Ambient_Temperature_C=37.7; Humidity_percent=100.0; Season=Summer; Housing_Score=0.31; Milk_Yield_L=11.01; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=0; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=12.34; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2024-06-24; Farm_ID=FARM_0580; Disease_Status=Healthy
8,cattle_record: Cattle_ID=CATTLE_075960; Breed=Jersey_Zebu_Cross; Region=Africa; Country=NZ; Climate_Zone=Subtropical; Management_System=Semi_Intensive; Age_Months=129; Weight_kg=268.5; Parity=5; Lactation_Stage=Late; Days_in_Milk=242; Feed_Type=Green_Fodder; Feed_Quantity_kg=10.7; Water_Intake_L=73.6; Walking_Distance_km=5.8; Grazing_Duration_hrs=5.4; Rumination_Time_hrs=8.3; Resting_Hours=9.0; Body_Temperature_C=38.2; Heart_Rate_bpm=57.0; Respiratory_Rate=33.0; Ambient_Temperature_C=20.9; Humidity_percent=74.2; Season=Winter; Housing_Score=0.69; Milk_Yield_L=6.69; FMD_Vaccine=0; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=6.99; Body_Condition_Score=5.0; Milking_Interval_hrs=12; Date=2022-06-21; Farm_ID=FARM_0089; Disease_Status=Diarrhea
2,cattle_record: Cattle_ID=CATTLE_247466; Breed=Boran; Region=Oceania; Country=BR; Climate_Zone=Subtropical; Management_System=Pastoral; Age_Months=29; Weight_kg=379.9; Parity=6; Lactation_Stage=Mid; Days_in_Milk=240; Feed_Type=Dry_Fodder; Feed_Quantity_kg=13.8; Water_Intake_L=78.0; Walking_Distance_km=4.56; Grazing_Duration_hrs=2.2; Rumination_Time_hrs=7.3; Resting_Hours=6.2; Body_Temperature_C=38.1; Heart_Rate_bpm=75.0; Respiratory_Rate=28.0; Ambient_Temperature_C=25.7; Humidity_percent=40.1; Season=Summer; Housing_Score=0.67; Milk_Yield_L=0.0; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=0; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=3.07; Body_Condition_Score=4.0; Milking_Interval_hrs=12; Date=2023-01-08; Farm_ID=FARM_0629; Disease_Status=Protein_Deficiency
11,cattle_record: Cattle_ID=CATTLE_128857; Breed=Simmental; Region=Africa; Country=CA; Climate_Zone=Continental; Management_System=Mixed; Age_Months=113; Weight_kg=490.3; Parity=4; Lactation_Stage=Mid; Days_in_Milk=12; Feed_Type=Silage; Feed_Quantity_kg=7.3; Water_Intake_L=83.9; Walking_Distance_km=5.52; Grazing_Duration_hrs=3.2; Rumination_Time_hrs=6.8; Resting_Hours=10.5; Body_Temperature_C=37.3; Heart_Rate_bpm=66.0; Respiratory_Rate=14.0; Ambient_Temperature_C=16.0; Humidity_percent=79.2; Season=Winter; Housing_Score=0.39; Milk_Yield_L=9.55; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=9.06; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2023-10-04; Farm_ID=FARM_0500; Disease_Status=Bovine_Tuberculosis
1,cattle_record: Cattle_ID=CATTLE_034525; Breed=Kenana; Region=Global; Country=BD; Climate_Zone=Continental; Management_System=Mixed; Age_Months=47; Weight_kg=409.2; Parity=3; Lactation_Stage=Mid; Days_in_Milk=208; Feed_Type=Hay; Feed_Quantity_kg=13.2; Water_Intake_L=92.4; Walking_Distance_km=3.43; Grazing_Duration_hrs=1.0; Rumination_Time_hrs=9.6; Resting_Hours=14.5; Body_Temperature_C=38.8; Heart_Rate_bpm=48.0; Respiratory_Rate=30.0; Ambient_Temperature_C=23.6; Humidity_percent=29.1; Season=Summer; Housing_Score=0.57; Milk_Yield_L=4.39; FMD_Vaccine=1; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=5.19; Body_Condition_Score=3.0; Milking_Interval_hrs=12; Date=2022-03-11; Farm_ID=FARM_0104; Disease_Status=Healthy
9,cattle_record: Cattle_ID=CATTLE_114952; Breed=Butana; Region=South_Asia; Country=DE; Climate_Zone=Tropical; Management_System=Intensive; Age_Months=82; Weight_kg=390.2; Parity=5; Lactation_Stage=Late; Days_in_Milk=295; Feed_Type=Crop_Residues; Feed_Quantity_kg=18.0; Water_Intake_L=73.2; Walking_Distance_km=0.5; Grazing_Duration_hrs=4.3; Rumination_Time_hrs=9.6; Resting_Hours=9.2; Body_Temperature_C=38.2; Heart_Rate_bpm=67.0; Respiratory_Rate=25.0; Ambient_Temperature_C=19.4; Humidity_percent=58.9; Season=Monsoon; Housing_Score=0.39; Milk_Yield_L=2.85; FMD_Vaccine=0; Brucellosis_Vaccine=0; HS_Vaccine=1; BQ_Vaccine=1; Anthrax_Vaccine=1; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=1; Previous_Week_Avg_Yield=3.36; Body_Condition_Score=2.0; Milking_Interval_hrs=6; Date=2022-06-08; Farm_ID=FARM_0698; Disease_Status=Healthy
8,cattle_record: Cattle_ID=CATTLE_101079; Breed=Jersey; Region=Global; Country=NZ; Climate_Zone=Arid; Management_System=Extensive; Age_Months=115; Weight_kg=499.7; Parity=5; Lactation_Stage=Mid; Days_in_Milk=75; Feed_Type=Silage; Feed_Quantity_kg=16.5; Water_Intake_L=92.0; Walking_Distance_km=6.12; Grazing_Duration_hrs=5.0; Rumination_Time_hrs=7.2; Resting_Hours=9.0; Body_Temperature_C=37.9; Heart_Rate_bpm=40.0; Respiratory_Rate=28.0; Ambient_Temperature_C=35.2; Humidity_percent=79.9; Season=Winter; Housing_Score=0.97; Milk_Yield_L=7.3; FMD_Vaccine=0; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=0; Previous_Week_Avg_Yield=9.11; Body_Condition_Score=3.0; Milking_Interval_hrs=24; Date=2023-08-27; Farm_ID=FARM_0678; Disease_Status=Haemorrhagic_Septicemia
2,cattle_record: Cattle_ID=CATTLE_209307; Breed=Simmental; Region=Africa; Country=BR; Climate_Zone=Tropical; Management_System=Pastoral; Age_Months=73; Weight_kg=723.0; Parity=1; Lactation_Stage=Early; Days_in_Milk=281; Feed_Type=Dry_Fodder; Feed_Quantity_kg=11.4; Water_Intake_L=89.0; Walking_Distance_km=5.92; Grazing_Duration_hrs=1.4; Rumination_Time_hrs=9.0; Resting_Hours=10.9; Body_Temperature_C=37.8; Heart_Rate_bpm=66.0; Respiratory_Rate=19.0; Ambient_Temperature_C=27.0; Humidity_percent=24.1; Season=Monsoon; Housing_Score=0.46; Milk_Yield_L=1.57; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=1; Rabies_Vaccine=1; Previous_Week_Avg_Yield=0.0; Body_Condition_Score=2.5; Milking_Interval_hrs=8; Date=2023-11-30; Farm_ID=FARM_0986; Disease_Status=Anthrax
12,cattle_record: Cattle_ID=CATTLE_123692; Breed=Red_Sindhi; Region=South_Asia; Country=PK; Climate_Zone=Temperate; Management_System=Extensive; Age_Months=135; Weight_kg=415.4; Parity=1; Lactation_Stage=Late; Days_in_Milk=246; Feed_Type=Pasture_Grass; Feed_Quantity_kg=14.1; Water_Intake_L=93.3; Walking_Distance_km=2.73; Grazing_Duration_hrs=7.3; Rumination_Time_hrs=6.1; Resting_Hours=9.0; Body_Temperature_C=38.2; Heart_Rate_bpm=59.0; Respiratory_Rate=28.0; Ambient_Temperature_C=33.2; Humidity_percent=100.0; Season=Summer; Housing_Score=0.86; Milk_Yield_L=7.79; FMD_Vaccine=0; Brucellosis_Vaccine=0; HS_Vaccine=0; BQ_Vaccine=1; Anthrax_Vaccine=0; IBR_Vaccine=1; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=7.67; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2024-05-16; Farm_ID=FARM_0478; Disease_Status=Healthy
4,cattle_record: Cattle_ID=CATTLE_120450; Breed=Boran; Region=South_Asia; Country=PK; Climate_Zone=Continental; Management_System=Semi_Intensive; Age_Months=56; Weight_kg=278.3; Parity=5; Lactation_Stage=Early; Days_in_Milk=101; Feed_Type=Silage; Feed_Quantity_kg=10.7; Water_Intake_L=60.6; Walking_Distance_km=4.06; Grazing_Duration_hrs=7.3; Rumination_Time_hrs=8.8; Resting_Hours=12.4; Body_Temperature_C=37.5; Heart_Rate_bpm=51.0; Respiratory_Rate=25.0; Ambient_Temperature_C=30.2; Humidity_percent=53.5; Season=Spring; Housing_Score=0.84; Milk_Yield_L=7.13; FMD_Vaccine=1; Brucellosis_Vaccine=1; HS_Vaccine=1; BQ_Vaccine=0; Anthrax_Vaccine=0; IBR_Vaccine=0; BVD_Vaccine=0; Rabies_Vaccine=0; Previous_Week_Avg_Yield=7.48; Body_Condition_Score=3.5; Milking_Interval_hrs=12; Date=2023-01-12; Farm_ID=FARM_0731; Disease_Status=Pneumonia
